                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.9355,                  4.303,                 2.9697,                0.00194,                0.26481,                0.00803,                0.00271,                 3.0079,                 4.1735,                 3.0375,             0.00023671,             0.00023671,             0.00023671
                     67,                 3.0471,                 4.3027,                  3.052,                0.00221,                0.26804,                0.00729,                0.00235,                 3.0065,                 4.1745,                 3.0287,             0.00021471,             0.00021471,             0.00021471
                     68,                 3.0096,                 4.2681,                 3.0033,                0.00274,                0.28094,                 0.0072,                0.00228,                 3.0057,                 4.1767,                 3.0182,             0.00019271,             0.00019271,             0.00019271
                     69,                 3.0101,                 4.2094,                 3.0076,                 0.0031,                0.27126,                0.00742,                0.00221,                 2.9954,                 4.1833,                 3.0109,              0.0001707,              0.0001707,              0.0001707
                     70,                 3.0311,                 4.2541,                 2.9962,                0.00377,                0.27449,                0.00723,                0.00222,                 2.9901,                 4.1901,                 2.9978,              0.0001487,              0.0001487,              0.0001487
                     71,                 2.9602,                 4.1898,                 2.9747,                0.00371,                0.28094,                0.00686,                0.00204,                 2.9875,                 4.1818,                 2.9905,             0.00012669,             0.00012669,             0.00012669
                     72,                 2.9439,                  4.184,                 3.0309,                0.00319,                0.28739,                0.00674,                  0.002,                 2.9775,                 4.1752,                 2.9837,             0.00010469,             0.00010469,             0.00010469
                     73,                  2.911,                 4.2236,                 2.9844,                0.00238,                0.27603,                0.00634,                0.00206,                  2.969,                 4.1607,                 2.9813,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     74,                 2.9574,                 4.1433,                 2.9687,                0.00268,                0.29062,                0.00629,                0.00201,                 2.9597,                 4.1536,                 2.9787,             6.0679e-05,             6.0679e-05,             6.0679e-05
                     75,                 2.8394,                 4.1512,                 2.9449,                0.00265,                0.29384,                0.00638,                0.00205,                 2.9552,                 4.1488,                 2.9773,             3.8674e-05,             3.8674e-05,             3.8674e-05
